order_date,shipment_date,region,city,product,category,segment,department,customer_type,quantity,revenue,cost,discount,shipping_cost
2024-02-22,2024-03-02,North,Delhi,Jeans,Clothing,Consumer,Operations,VIP,3,2280.0,2484.72,0.03,774.72
2024-05-22,2024-05-23,North,Lucknow,Cabinet,Furniture,Consumer,Finance,VIP,6,196176.0,153931.44,0.05,2875.92
2024-11-05,2024-11-10,East,Kolkata,Monitor,Electronics,Consumer,Marketing,Returning,2,150775.2,165542.72,0.29,1197.75
2024-12-04,2024-12-08,East,Patna,Jeans,Clothing,Home Office,Sales,New,10,28884.0,24879.84,0.03,906.12
2025-04-24,2025-04-26,East,Kolkata,Jacket,Clothing,Consumer,Marketing,VIP,20,97500.0,86265.55,0.07,1440.55
2025-02-16,2025-02-22,East,Patna,Sofa,Furniture,Consumer,Operations,New,13,121381.0,133732.95,0.28,2641.47
2024-05-15,2024-05-18,East,Kolkata,Snacks,Grocery,Home Office,Finance,New,8,15504.0,16343.71,0.18,1149.79
2024-11-17,2024-11-20,South,Hyderabad,Rice,Grocery,Consumer,Sales,New,14,14800.8,14186.03,0.18,1457.34
2024-06-23,2024-06-25,East,Patna,Laptop,Electronics,Home Office,Marketing,VIP,10,434920.0,476702.77,0.29,2639.97
2024-09-16,2024-09-26,East,Patna,Chair,Furniture,Home Office,Marketing,VIP,7,206528.0,227890.58,0.29,2775.06
2025-03-25,2025-03-30,North,Lucknow,Shoes,Clothing,Consumer,Sales,Returning,8,9160.0,11076.87,0.22,2466.47
2025-04-20,2025-04-29,South,Bangalore,Milk,Grocery,Corporate,Finance,New,7,10325.0,10353.24,0.19,1370.49
2024-10-28,2024-11-06,West,Mumbai,Desk,Furniture,Consumer,Marketing,New,8,186547.2,179356.04,0.21,270.73
2024-12-08,2024-12-16,North,Delhi,T-Shirt,Clothing,Home Office,Operations,Returning,7,36724.8,37697.55,0.24,2441.74
2024-08-27,2024-08-28,South,Bangalore,Monitor,Electronics,Corporate,Finance,Returning,4,75888.0,72155.82,0.26,821.1
2024-08-24,2024-08-28,South,Hyderabad,Milk,Grocery,Corporate,Operations,Returning,3,4305.0,6743.38,0.3,2524.48
2025-03-18,2025-03-25,North,Delhi,Cabinet,Furniture,Corporate,Finance,New,2,59672.0,50111.4,0.08,2373.8
2024-04-21,2024-04-22,West,Pune,Snacks,Grocery,Consumer,Operations,Returning,19,4123.0,4657.4,0.02,1482.69
2025-03-17,2025-03-21,South,Bangalore,Smartphone,Electronics,Consumer,Sales,VIP,13,297128.0,209995.98,0.02,2006.38
2024-03-08,2024-03-13,East,Bhubaneswar,Sofa,Furniture,Consumer,Marketing,Returning,15,146310.0,146579.58,0.19,1732.68
2025-03-26,2025-03-30,North,Delhi,Sofa,Furniture,Consumer,Marketing,New,12,184056.0,162946.58,0.16,977.3
2025-03-31,2025-04-02,North,Lucknow,T-Shirt,Clothing,Consumer,Marketing,New,18,50544.0,40518.67,0.06,1094.35
2024-08-04,2024-08-09,East,Patna,Coffee,Grocery,Consumer,Sales,VIP,2,2808.0,3629.31,0.29,568.59
2025-04-07,2025-04-10,West,Ahmedabad,Rice,Grocery,Consumer,Sales,VIP,18,17640.0,14929.55,0.04,993.95
2025-02-03,2025-02-12,North,Chandigarh,Desk,Furniture,Home Office,Sales,Returning,14,211792.0,165499.51,0.05,2419.67
2025-02-14,2025-02-18,South,Chennai,Smartphone,Electronics,Home Office,Marketing,Returning,9,228897.0,159403.93,0.01,1465.0
2024-12-03,2024-12-07,South,Chennai,Jacket,Clothing,Consumer,Operations,New,13,16660.8,14622.51,0.08,1960.3
2024-10-24,2024-10-29,West,Ahmedabad,T-Shirt,Clothing,Consumer,Marketing,New,2,7994.4,9280.0,0.24,1365.54
2024-09-23,2024-10-02,North,Chandigarh,Sofa,Furniture,Consumer,Finance,New,7,232855.0,234762.15,0.28,1907.15
2024-07-25,2024-07-30,North,Lucknow,Jacket,Clothing,Home Office,Finance,Returning,18,70992.0,73056.22,0.28,2064.22
2024-05-26,2024-05-30,South,Hyderabad,Shoes,Clothing,Home Office,Sales,Returning,14,60326.0,49583.79,0.13,719.73
2025-02-23,2025-02-27,West,Ahmedabad,Chair,Furniture,Corporate,Marketing,New,10,180500.0,140133.41,0.01,2953.41
2024-07-23,2024-07-27,North,Chandigarh,Milk,Grocery,Home Office,Finance,Returning,5,8470.0,7809.57,0.13,610.07
2024-12-07,2024-12-16,West,Mumbai,Chair,Furniture,Corporate,Operations,Returning,18,557150.4,554265.76,0.24,2686.86
2024-05-12,2024-05-16,West,Ahmedabad,Milk,Grocery,Home Office,Finance,Returning,9,12447.0,11582.17,0.07,1375.63
2024-03-18,2024-03-22,East,Kolkata,Jacket,Clothing,Corporate,Sales,New,13,29276.0,27993.48,0.12,1059.56
2025-04-29,2025-04-30,West,Pune,Smartphone,Electronics,Corporate,Finance,VIP,19,758632.0,638481.84,0.09,1230.96
2024-09-05,2024-09-06,West,Ahmedabad,Cabinet,Furniture,Consumer,Marketing,Returning,13,409461.0,364890.41,0.14,470.12
2025-03-19,2025-03-27,North,Chandigarh,Laptop,Electronics,Home Office,Finance,New,6,109770.0,86668.45,0.06,1047.85
2025-01-18,2025-01-27,West,Pune,Coffee,Grocery,Consumer,Finance,New,2,2862.0,5079.87,0.02,2876.13
2024-03-05,2024-03-13,North,Delhi,Desk,Furniture,Consumer,Operations,New,4,77136.0,62878.6,0.08,1169.8
2024-10-21,2024-10-28,North,Delhi,T-Shirt,Clothing,Home Office,Sales,Returning,13,17503.2,18196.98,0.21,1919.0
2024-09-29,2024-10-06,North,Lucknow,T-Shirt,Clothing,Home Office,Sales,Returning,12,39540.0,40838.56,0.25,2484.76
2024-03-31,2024-04-09,North,Chandigarh,Shoes,Clothing,Home Office,Operations,Returning,9,38772.0,39427.02,0.25,1818.18
2024-10-18,2024-10-28,East,Kolkata,Tablet,Electronics,Corporate,Operations,Returning,13,577917.6,521639.73,0.1,1513.89
2024-01-06,2024-01-15,East,Bhubaneswar,Jacket,Clothing,Home Office,Marketing,VIP,7,26803.0,26795.85,0.17,796.94
2024-04-23,2024-04-30,West,Ahmedabad,Snacks,Grocery,Consumer,Sales,Returning,8,9864.0,10310.2,0.16,1333.96
2024-03-02,2024-03-06,East,Bhubaneswar,Coffee,Grocery,Corporate,Marketing,New,11,5973.0,6994.31,0.22,901.85
2024-06-03,2024-06-04,East,Kolkata,Sofa,Furniture,Consumer,Marketing,New,18,413586.0,403300.93,0.17,2122.51
2024-09-02,2024-09-10,South,Hyderabad,Rice,Grocery,Consumer,Marketing,Returning,11,20504.0,19297.42,0.14,2484.14
2025-04-30,2025-05-05,West,Pune,Laptop,Electronics,Consumer,Operations,VIP,3,93795.0,89122.76,0.18,1893.41
2024-10-18,2024-10-28,West,Pune,Coffee,Grocery,Home Office,Finance,Returning,2,3314.4,4699.9,0.06,2015.24
2024-08-18,2024-08-28,South,Bangalore,Chair,Furniture,Consumer,Sales,Returning,16,114224.0,103798.02,0.21,2138.66
2024-02-28,2024-03-08,West,Mumbai,Sofa,Furniture,Home Office,Operations,Returning,8,118112.0,93581.43,0.04,272.95
2024-06-04,2024-06-11,East,Patna,Shoes,Clothing,Consumer,Finance,VIP,9,36774.0,38717.85,0.18,2679.33
2025-03-04,2025-03-14,East,Patna,T-Shirt,Clothing,Consumer,Operations,VIP,19,51433.0,43953.91,0.01,2293.18
2025-02-20,2025-02-28,West,Ahmedabad,Coffee,Grocery,Consumer,Finance,VIP,3,2346.0,2397.44,0.1,403.34
2024-01-19,2024-01-27,South,Chennai,Snacks,Grocery,Corporate,Finance,VIP,3,1011.0,2252.78,0.29,1272.11
2024-07-04,2024-07-14,North,Lucknow,Snacks,Grocery,Consumer,Operations,VIP,16,8256.0,7084.74,0.08,479.94
2024-03-22,2024-03-27,East,Bhubaneswar,Rice,Grocery,Consumer,Operations,VIP,18,10080.0,13835.5,0.3,2747.5
2024-12-27,2025-01-01,West,Mumbai,Cabinet,Furniture,Home Office,Marketing,VIP,14,615232.8,548076.65,0.14,519.46
2025-04-23,2025-05-02,South,Hyderabad,Chair,Furniture,Corporate,Finance,Returning,9,46512.0,37616.36,0.09,1802.12
2025-01-25,2025-02-03,West,Mumbai,Snacks,Grocery,Corporate,Marketing,VIP,13,19864.0,17499.1,0.07,1210.62
2024-12-05,2024-12-08,West,Mumbai,Shoes,Clothing,Home Office,Finance,Returning,16,29452.8,31693.69,0.29,1062.78
2025-03-21,2025-03-24,North,Chandigarh,Monitor,Electronics,Consumer,Operations,Returning,3,137304.0,129677.25,0.21,1984.53
2024-01-19,2024-01-29,East,Patna,Coffee,Grocery,Home Office,Finance,VIP,3,4887.0,6993.39,0.03,2937.18
2025-02-11,2025-02-12,North,Chandigarh,Sofa,Furniture,Consumer,Sales,Returning,10,295650.0,234858.45,0.07,1294.95
2024-12-15,2024-12-19,South,Bangalore,Chair,Furniture,Home Office,Finance,VIP,16,276076.8,241619.57,0.19,1432.75
